Year,Temperature,Anomaly
1895,68.7,-1.4
1896,69.9,-0.2
1897,70.4,0.3
1898,70.1,0
1899,70.4,0.3
1900,69.9,-0.2
1901,68,-2.1
1902,69.9,-0.2
1903,69,-1.1
1904,69.3,-0.8
1905,70,-0.1
1906,69.6,-0.5
1907,70.5,0.4
1908,70.3,0.2
1909,70.2,0.1
1910,68.2,-1.9
1911,71.3,1.2
1912,70,-0.1
1913,70,-0.1
1914,69.1,-1
1915,69.1,-1
1916,69.6,-0.5
1917,68.8,-1.3
1918,69.8,-0.3
1919,70.4,0.3
1920,68.9,-1.2
1921,71,0.9
1922,71,0.9
1923,70.1,0
1924,69.4,-0.7
1925,70.4,0.3
1926,69.3,-0.8
1927,71.1,1
1928,69.3,-0.8
1929,70.7,0.6
1930,nan,nan
1931,69.9,-0.2
1932,71,0.9
1933,70.9,0.8
1934,69.8,-0.3
1935,69.8,-0.3
1936,70.1,0
1937,69.8,-0.3
1938,70.2,0.1
1939,70.6,0.5
1940,68.2,-1.9
1941,69.8,-0.3
1942,69.4,-0.7
1943,69.5,-0.6
1944,70.2,0.1
1945,70.7,0.6
1946,71.2,1.1
1947,70.3,0.2
1948,71.6,1.5
1949,71.6,1.5
1950,70.3,0.2
1951,70.4,0.3
1952,70.3,0.2
1953,70.8,0.7
1954,70.1,0
1955,70.2,0.1
1956,69.9,-0.2
1957,71,0.9
1958,69,-1.1
1959,70.6,0.5
1960,nan,nan
1961,70,-0.1
1962,69.8,-0.3
1963,69.2,-0.9
1964,70,-0.1
1965,70.2,0.1
1966,69,-1.1
1967,70.2,0.1
1968,68.6,-1.5
1969,69,-1.1
1970,69.4,-0.7
1971,70.4,0.3
1972,70.9,0.8
1973,70.3,0.2
1974,70.9,0.8
1975,71.2,1.1
1976,69,-1.1
1977,69.4,-0.7
1978,69.7,-0.4
1979,69.9,-0.2
1980,69.9,-0.2
1981,69.3,-0.8
1982,71.5,1.4
1983,69.3,-0.8
1984,70,-0.1
1985,70.8,0.7
1986,71.5,1.4
1987,70.2,0.1
1988,69.7,-0.4
1989,71,0.9
1990,72.5,2.4
1991,71.8,1.7
1992,70.3,0.2
1993,70.3,0.2
1994,71.6,1.5
1995,70.8,0.7
1996,69.9,-0.2
1997,71.1,1
1998,72.5,2.4
1999,71.2,1.1
2000,70.6,0.5
2001,70.9,0.8
2002,71.3,1.2
2003,70.9,0.8
2004,70.8,0.7
2005,70.8,0.7
2006,71.4,1.3
2007,71.8,1.7
2008,70.8,0.7
2009,71.2,1.1
2010,69.2,-0.9
2011,71.7,1.6
2012,71.9,1.8
2013,71.7,1.6
2014,70.6,0.5
2015,73.4,3.3
2016,72.5,2.4
2017,72.7,2.6
